_id,permit_number,s_name,s_address,city,z_code,p_fee,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,status,latitude,longitude
7254899,PAA210552,VISUAL ARTS CENTER/PITTSBURGH POLICE ACADEMY,900 N LINCOLN AVE,PITTSBURGH,15233,450,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BOILER ROOM PLASTER,312,t,2021-03-10,2021-12-31,JOE YAKUBISIN,t,f,2021-12-31,PAA,COMPLETE,40.451193,-80.016516
7254900,PAA210565,RETAIL OFFICE SPACE,3709  BUTLER ST,PITTSBURGH,15201,800,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE FLOOR TILE ON FIRST FLOOR,1850,f,2021-10-20,2021-12-31,JOE YAKUBISIN,t,f,2021-12-31,PAA,COMPLETE,40.46661,-79.964712
7254901,PAA210604,THE SALVATION ARMY PITTSBURGH ARC,44 S 9TH ST,PITTSBURGH,15203,1400,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE CONTAMINATED DEBRIS FROM BASEMENT,2395,t,2021-11-09,2021-12-31,SHANNON SANDBERG,t,f,2021-12-31,PAA,COMPLETE,40.429215,-79.990479
7254902,PAA210607,COMMERCIAL BUILDING,2776  SOUTH PARK RD,BETHEL PARK,15102,450,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE FLOOR TILE IN 2ND FLOOR APARTMENTS,796,t,2021-11-26,2022-01-28,SHANNON SANDBERG,t,f,2022-01-28,PAA,COMPLETE,40.328064,-80.034606
7254903,PAA210624,PROMEDICA,550 S NEGLEY AVE,PITTSBURGH,15232,450,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BREAKROOM FLOOR TILE,720,t,2021-12-14,2022-03-04,JOE YAKUBISIN,t,f,2022-03-04,PAA,COMPLETE,40.455216,-79.933248
7254904,PAA224172,,739  BRADDOCK AVE,BRADDOCK,15104,850,921,GRAY WASTE MANAGEMENT CORPORATION,UNSAFE STRUCTURE ALL MATERIAL BEING TREATED AS ACM,2400,f,2022-03-25,2023-03-24,JOE YAKUBISIN,f,f,2023-03-24,PAA,EXPIRED,40.4010034390001,-79.865021048
7254905,PAA224173,,741  BRADDOCK AVE,BRADDOCK,15104,850,921,GRAY WASTE MANAGEMENT CORPORATION,UNSAFE STRUCTURE ALL MATERIAL BEING TREATED AS ACM,2400,f,2022-03-25,2023-03-24,JOE YAKUBISIN,t,f,2023-03-24,PAA,COMPLETE,40.4010034390001,-79.865021048
7254906,PAA224177,FORMER WILKINS TOWNSHIP VFD #4,205 FRAZIER DR,PITTSBURGH,15235,1250,921,GRAY WASTE MANAGEMENT CORPORATION,REMOVE 2ND FLOOR; STAIRS; & LANDINGS FLOOR TILE & MASTIC AND 1ST FLOOR CEILING THROUGH ROOF TRANSITE STACKS,4340,f,2022-04-11,2023-04-10,JOE YAKUBISIN,t,f,2023-04-10,PAA,COMPLETE,,
7254907,PAA224185,CITY OF PITTSBURGH REGULATED PROPERTY,1434  BOYLE ST,PITTSBURGH,15212,350,921,GRAY WASTE MANAGEMENT CORPORATION,UNSAFE STRUCTURE - ALL MATERIAL BEING TREATED AS ACM,1925,f,2022-03-31,2023-03-29,ELIZABETH LETURGEY,t,f,2023-03-29,PAA,COMPLETE,,
7254908,UND180211,RESIDENCE,155 DARLINGTON LN,SEWICKLEY,15143,0,921,GRAY WASTE MANAGEMENT CORPORATION,REMOVE DUCT INSULATION FROM BASEMENT,60,f,2018-12-20,2019-12-19,JOE YAKUBISIN,t,f,2019-12-19,UND,COMPLETE,40.554513,-80.162559
